category,price,quantity,delivery_status,payment_method,device_type,channel,customer_segment,shipping_delay_days,order_month,order_day,order_dayofweek,order_hour,shipping_month,shipping_day,shipping_dayofweek,shipping_hour,is_weekend_order,shipping_city,shipping_state,billing_city,billing_state,product_popularity
Books,45.95,4,Shipped,PayPal,Mobile,Paid Search,VIP,7.0,4,20,5,14,4,27,5,14,1,Davidmouth,Hawaii,Campbellland,Oklahoma,12
Electronics,403.17,3,Delivered,PayPal,Mobile,Paid Search,Returning,2.0,4,20,5,14,4,22,0,14,1,East Nicholasside,Mississippi,Johnborough,Maine,18
Beauty,317.45,2,Shipped,Credit Card,Mobile,Email,Returning,7.0,4,20,5,14,4,27,5,14,1,Lynchtown,Minnesota,Lake Pamelabury,Arizona,6
Home,24.08,3,Shipped,PayPal,Tablet,Social,VIP,4.0,4,20,5,14,4,24,2,14,1,North Joshuafort,Alabama,Dustintown,Nebraska,12
Clothing,494.9,1,Delivered,PayPal,Tablet,Organic,VIP,5.0,4,20,5,14,4,25,3,14,1,Douglasland,Ohio,Douglaschester,Ohio,5
Electronics,342.0,1,Delivered,PayPal,Desktop,Organic,VIP,5.0,4,20,5,14,4,25,3,14,1,Charlesmouth,California,Timothystad,South Carolina,7
Books,281.92,3,Delivered,Debit Card,Tablet,Email,VIP,3.0,4,20,5,14,4,23,1,14,1,Lake Ianchester,Massachusetts,Campbellview,South Dakota,11
Home,195.5,1,Delivered,Apple Pay,Mobile,Social,Returning,6.0,4,20,5,14,4,26,4,14,1,Tristanburgh,Texas,West Adam,North Carolina,5
Home,445.83,1,Shipped,Google Pay,Mobile,Email,Returning,1.0,4,20,5,14,4,21,6,14,1,Sandrashire,New York,North Christina,Iowa,11
Toys,317.72,2,Delivered,Apple Pay,Desktop,Email,VIP,5.0,4,20,5,14,4,25,3,14,1,Schroederhaven,Alabama,Port Steven,Arkansas,11
Beauty,480.1,1,Delivered,Apple Pay,Mobile,Organic,VIP,6.0,4,20,5,14,4,26,4,14,1,Mckayborough,Wyoming,South Kathyfort,Michigan,11
Toys,64.06,1,Delivered,Credit Card,Tablet,Social,VIP,1.0,4,20,5,14,4,21,6,14,1,Gardnerberg,North Dakota,West Stephenville,North Dakota,8
Home,66.44,1,Delivered,Credit Card,Desktop,Organic,Returning,1.0,4,20,5,14,4,21,6,14,1,Davidsontown,California,West Stephanieton,Pennsylvania,10
Electronics,362.51,2,Delivered,Credit Card,Mobile,Paid Search,VIP,3.0,4,20,5,14,4,23,1,14,1,Joneshaven,Utah,Smithmouth,South Dakota,11
Toys,182.64,2,Shipped,Credit Card,Mobile,Paid Search,Returning,5.0,4,20,5,14,4,25,3,14,1,East Brian,Louisiana,South Ryanmouth,North Carolina,4
Books,373.68,2,Delivered,PayPal,Desktop,Social,New,5.0,4,20,5,14,4,25,3,14,1,Donaldburgh,Illinois,Michaelport,Nevada,15
Books,128.86,1,Delivered,Credit Card,Desktop,Email,Returning,5.0,4,20,5,14,4,25,3,14,1,Tinaport,Arizona,Richardsonside,Idaho,9
Beauty,102.07,1,Returned,Debit Card,Mobile,Email,Returning,1.0,4,20,5,14,4,21,6,14,1,North Samanthaberg,Alabama,Port Bryan,Maryland,6
Beauty,39.39,3,Delivered,PayPal,Mobile,Organic,VIP,5.0,4,20,5,14,4,25,3,14,1,Port Kevinberg,North Carolina,Rosebury,Missouri,13
Beauty,128.22,3,Delivered,PayPal,Mobile,Social,VIP,2.0,4,20,5,14,4,22,0,14,1,New Tanyaborough,New Jersey,Kellymouth,Minnesota,11
Toys,466.85,1,Delivered,PayPal,Desktop,Social,VIP,4.0,4,20,5,14,4,24,2,14,1,Elizabethfurt,Kentucky,Lake Lisa,Indiana,10
Books,480.29,2,Pending,Credit Card,Desktop,Paid Search,Returning,4.0,4,20,5,14,4,24,2,14,1,Owensmouth,Colorado,Villarrealview,Ohio,9
Beauty,73.14,1,Delivered,Google Pay,Mobile,Organic,Returning,5.0,4,20,5,14,4,25,3,14,1,Travisborough,Virginia,South Matthew,Maryland,11
Clothing,166.13,2,Delivered,Google Pay,Desktop,Social,Returning,6.0,4,20,5,14,4,26,4,14,1,Hortonview,Wisconsin,East Nicole,Missouri,5
Home,21.68,2,Delivered,Apple Pay,Mobile,Organic,Returning,5.0,4,20,5,14,4,25,3,14,1,Lake Christophershire,Kansas,Alexisfurt,Nebraska,7
Home,43.27,1,Delivered,Google Pay,Tablet,Organic,Returning,7.0,4,20,5,14,4,27,5,14,1,Lake Amyton,Montana,Oliviabury,Maryland,7
Beauty,27.96,3,Delivered,Credit Card,Tablet,Paid Search,VIP,6.0,4,20,5,14,4,26,4,14,1,Kelseyville,Texas,Lake Stephanie,North Carolina,13
Electronics,49.22,2,Delivered,Apple Pay,Mobile,Organic,VIP,2.0,4,20,5,14,4,22,0,14,1,Griffinfort,Montana,Ericton,Idaho,9
Electronics,69.72,4,Delivered,Apple Pay,Tablet,Paid Search,Returning,2.0,4,20,5,14,4,22,0,14,1,Aaronshire,Texas,North Ruth,Idaho,5
Home,191.53,5,Delivered,Google Pay,Desktop,Email,VIP,2.0,4,21,6,14,4,23,1,14,1,Rodriguezland,North Carolina,Lake Michaelport,North Carolina,12
Electronics,79.03,6,Delivered,Debit Card,Desktop,Email,VIP,6.0,4,21,6,14,4,27,5,14,1,Schneiderton,Hawaii,Millermouth,Connecticut,6
Electronics,339.78,1,Shipped,Credit Card,Desktop,Email,VIP,5.0,4,21,6,14,4,26,4,14,1,North Traviston,Pennsylvania,East Jessica,Delaware,15
Clothing,179.93,2,Shipped,Apple Pay,Mobile,Paid Search,VIP,5.0,4,21,6,14,4,26,4,14,1,Gordonmouth,Pennsylvania,Kellyhaven,Louisiana,12
Beauty,389.15,3,Shipped,Google Pay,Mobile,Paid Search,VIP,4.0,4,21,6,14,4,25,3,14,1,Vanessafort,Connecticut,Christopherton,Colorado,16
Books,498.02,1,Shipped,PayPal,Desktop,Paid Search,Returning,4.0,4,21,6,14,4,25,3,14,1,Lisaport,Florida,Robertland,Connecticut,15
Electronics,133.66,1,Delivered,Credit Card,Mobile,Email,VIP,2.0,4,21,6,14,4,23,1,14,1,Lake Hannah,Iowa,Lake Michaeltown,West Virginia,11
Books,385.3,2,Shipped,Google Pay,Desktop,Organic,Returning,4.0,4,21,6,14,4,25,3,14,1,Taylorshire,Michigan,Port Stephenport,South Carolina,7
Home,144.89,6,Shipped,PayPal,Mobile,Email,VIP,2.0,4,21,6,14,4,23,1,14,1,Leonardview,Minnesota,North Peter,Massachusetts,7
Home,484.43,4,Delivered,Debit Card,Desktop,Paid Search,Returning,1.0,4,21,6,14,4,22,0,14,1,New Leslieview,North Dakota,Harrisborough,Utah,12
Books,417.66,2,Delivered,PayPal,Tablet,Email,VIP,2.0,4,21,6,14,4,23,1,14,1,Lake Jamesside,Oklahoma,New Caitlin,New Mexico,13
Electronics,195.31,3,Shipped,Apple Pay,Mobile,Social,Returning,4.0,4,21,6,14,4,25,3,14,1,New Katrina,Idaho,North Brittany,Michigan,11
Toys,73.35,2,Delivered,PayPal,Mobile,Social,New,1.0,4,21,6,14,4,22,0,14,1,Lake David,Washington,New Patriciaview,Texas,15
Electronics,459.02,2,Delivered,PayPal,Desktop,Email,Returning,7.0,4,21,6,14,4,28,6,14,1,North David,Rhode Island,Stacymouth,New Jersey,9
Electronics,106.85,1,Delivered,Credit Card,Mobile,Social,Returning,2.0,4,21,6,14,4,23,1,14,1,South Lindseyborough,South Dakota,Jacobport,New Hampshire,14
Electronics,315.37,3,Shipped,Apple Pay,Desktop,Organic,VIP,4.0,4,21,6,14,4,25,3,14,1,Williamtown,Kansas,West Kristen,Oklahoma,8
Home,276.18,3,Returned,Debit Card,Desktop,Email,Returning,2.0,4,21,6,14,4,23,1,14,1,South Matthew,Rhode Island,Port Henry,Maine,16
